Углерод 4-хлористый осч 18-4,селективные реактивы,,1 200 ₽
Олово гранулированное чда,селективные реактивы,,4 000 ₽
Натрий хлористый хч,селективные реактивы,,120 ₽
Медь (II) сернокислая 5-вод. чда,селективные реактивы,,250 ₽
Натрий углекислый б/в ч,селективные реактивы,,125 ₽
Галлий азотнокислый хч,селективные реактивы,,35 000 ₽
Магний углекислый основной ч,селективные реактивы,,305 ₽
Азур 1,селективные реактивы,,15 000 ₽
Цирконий карбид Ч ТУ 6-09-03-408-75,селективные реактивы,,8 500 ₽
1-метокси-2 пропанол хч,селективные реактивы,,600 ₽
Азофоска,селективные реактивы,,43 ₽
"Пирокатехин, имп.",селективные реактивы,,1 000 ₽
"Гидразин солянокислый ч, гидразин гидрохлорид",селективные реактивы,,2 500 ₽
Кобальт (II) гидроокись,селективные реактивы,,2 500 ₽
"1,5-дифенилкарбозон чда",необратимый,Россия,26 000 ₽
Бромфеноловый синий  в/р,селективные реактивы,,55 000 ₽
Цезий хромовокислый ч,селективные реактивы,,9 800 ₽
"Диметилглиоксим чда, Реактив Чугаева",селективные реактивы,,12 000 ₽
"Натрий азотистокислый хч, пищевая добавка Е 250",селективные реактивы,,160 ₽
"Селен, осч 17-4 , элементарный",селективные реактивы,,30 000 ₽
Углерод 4-хлористый хч для ЭВС марка А,селективные реактивы,,1 200 ₽
Кальций гидроокись чда,селективные реактивы,,140 ₽
Цинк окись ч,селективные реактивы,,320 ₽
Титан диоксид TiOx-220, ,,550 ₽
Висмут (III) хромовокислый,селективные реактивы,,1 900 ₽
Натрий бисульфит  водный раствор,селективные реактивы,,250 ₽
Алюминий сернокислый 18-вод. чда,селективные реактивы,,120 ₽
Гидразин сернокислый ч,селективные реактивы,,1 200 ₽
2-метоксибензальдегида,селективные реактивы,Великобритания,389 200 ₽
Натр едкий чешуир. тех.,селективные реактивы,,220 ₽
"Ртуть II йодистая  хч, ртуть йодид",селективные реактивы,,16 000 ₽
Кобальт (II) сернокислый 7-вод. Ч,селективные реактивы,,2 500 ₽
Натрий уксуснокислый плавленный ч,селективные реактивы,,750 ₽
Аммоний фтористый ч,селективные реактивы,,850 ₽
Метилцеллюлоза водорастворимая МЦ-100,селективные реактивы,Россия,3 800 ₽
Олово (II) хлорид ч,селективные реактивы,,4 500 ₽
Триэтаноламин ч,селективные реактивы,Китай,400 ₽
Ртуть II бромная чда,селективные реактивы,,16 000 ₽
Аммоний сернокислый чда,селективные реактивы,,75 ₽
Триполифосфат натрия тех.,селективные реактивы,,140 ₽
Натрий азотнокислый хч,селективные реактивы,,140 ₽
Марганец (II)  хлористый 4-водный,селективные реактивы,,500 ₽
Калий йодноватокислый,да,калимагнезия,4 500 ₽
"Натрий фосфорноватистокислый  хч,  натрий гипофосфит",селективные реактивы,,1 000 ₽
Аква-аурат -10,селективные реактивы,,70 ₽
Аммоний фосфорнокислый 1-зам. Ч,селективные реактивы,,400 ₽
Циклогексанон,селективные реактивы,,800 ₽
Сера элементарная осч 15-3,селективные реактивы,,280 ₽
"Резорцин технический, ЯПОНИЯ",селективные реактивы,Япония,3 000 ₽
Эфир  петролейный  40-70 чда,селективные реактивы,,800 ₽
Натрий гидросульфит тех,селективные реактивы,,175 ₽
"Аурамин О, чда",селективные реактивы,,8 000 ₽
"Натрий щавелевокислый чда, натрий оксалат",селективные реактивы,,1 800 ₽
"Генцианвиолет (генциановый фиолетовый, кристаллический фиолетовый)",селективные реактивы,,12 500 ₽
Бензидин основание,селективные реактивы,,185 000 ₽
Гафний азотнокислый ч,селективные реактивы,,35 000 ₽
"Селенит натрия, натрий селенистокислый",селективные реактивы,,2 500 ₽
Трихлорэтилен осч 13-2,селективные реактивы,,1 480 ₽
Натрий сернистокислый  безводный чда,селективные реактивы,,350 ₽
Цинк гранулированный металлический,селективные реактивы,,4 000 ₽
Магний окись осажденная ч,селективные реактивы,,550 ₽
"Уротропин, гексаметилентетрамин, гексамин",селективные реактивы,,300 ₽
Триэтаноламин тех.  м. А,селективные реактивы,,350 ₽
Натрий фосфорнокислый 2-замещенный 12-водный (динатрийфосфат),селективные реактивы,Россия,500 ₽
Натрий кремнефтористый ч,селективные реактивы,,280 ₽
Реактив Грисса чда,селективные реактивы,,1 500 ₽
1-НИТРОЗО-2-НАФТОЛ (РЕАКТИВ ИЛЬИНСКОГО),селективные реактивы,,6 500 ₽
"Натрий бромистый ч, натрий бромид",селективные реактивы,,1 000 ₽
Свинец (II) стеарат ч,селективные реактивы,,300 ₽
Олово сернокислое чда,селективные реактивы,,4 500 ₽
"Натрий салициловокислый чда, натрий салицилат",селективные реактивы,,1 500 ₽
"Аэросил А 200, 300, 380 (диоксид кремния)",селективные реактивы,,1 500 ₽
Флуоресцеин ртуть ацетат,селективные реактивы,,1 200 000 ₽
Аммоний азотнокислый ч,селективные реактивы,,370 ₽
title,category,country,price
Цинк гранулированный металлический,селективные реактивы,,4 000 
Триполифосфат натрия тех.,селективные реактивы,,140 
Натрий фосфорнокислый пиро ч,селективные реактивы,,500 
Лаурет сульфат натрия,селективные реактивы,,980 
Трихлорэтилен осч 13-2,селективные реактивы,,1 480 
Свинец азотнокислый  ч,селективные реактивы,,850 
"Натрий лимоннокислый 3-зам 5,5-водный чда, цитрат натрия, пищевая добавка Е331",селективные реактивы,,900 
Свинец (II) стеарат ч,селективные реактивы,,300 
Йод кристаллический ч,селективные реактивы,,6 000 
