title,category,country,price
Кальций (стеарат) стеариновокислый,селективные реактивы,,465 
Алюминий порошок ПА-4,Порошок,,320 
Кадмий окись хч,селективные реактивы,,870 
Сплав Розе,,,1 500 
Сера молотая,,,250 
Медь (II) хлорид 2 - вод. Ч,,,1 000 
Свинец железистосинеродистый,селективные реактивы,,1 250 
Люмогаллион,селективные реактивы,,280 000 
Медь (II) тетрафтороборат,,,1 200 
"Сурьма (III) окись, имп",селективные реактивы,,3 000 
Натрий хлористый хч,селективные реактивы,,120 
Эфир амиловый уксусной кислоты ч,,,580 
Кислота муравьиная 85%,,,250 
Свинец роданистый ч,селективные реактивы,,780 
Бумага универсальная индикаторная рН 0-12,селективные реактивы,,280 
Галлий азотнокислый хч,селективные реактивы,,35 000 
Ацетонитрил 3 (осч),селективные реактивы,,1 400 
"Калий  сорбиновокислый чда,(калий сорбат)",,,820 
Изо-октан,селективные реактивы,,1 000 
Аммоний углекислый кислый чда,,,330 
"Натрий фосфорноватистокислый  хч,  натрий гипофосфит",селективные реактивы,,1 000 
Кислота азотная чда,,азотная,125 
Хлороформ хч,селективные реактивы,Россия,450 
Ванадий (V) окись чда,селективные реактивы,,2 800 
Реактив Грисса чда,селективные реактивы,,1 500 
Ацетилацетон  осч,селективные реактивы,,4 500 
Бутилцеллозольв тех в/с,селективные реактивы,,220 
Иодид-ионов,селективные реактивы,,200 
Сульфанол (порошок),,бесфосфатный,180 
Метилэтилкетон хч,селективные реактивы,,650 
Цирконий гидроокись,селективные реактивы,,5 000 
Молибден дисульфид дми,селективные реактивы,Украина,8 000 
Триэтаноламин ч,селективные реактивы,Китай,400 
Ингибитор коррозии НМ-1,,,665 
Цинк окись ч,селективные реактивы,,320 
"Калий виннокислый 0,5-вод.",,,760 
Гафний азотнокислый ч,селективные реактивы,,35 000 
Метилцеллюлоза водорастворимая МЦ-100,селективные реактивы,Россия,3 800 
Аммоний фосфорнокислый (Аммофос в/с ),селективные реактивы,,150 
Стан.-титр: калий бромид-бромад,,,375 
Кислота азотная неконцентрированная 56-65%,,,120 
Кальций гидроокись чда,селективные реактивы,,140 
Иона кобальта (II),селективные реактивы,,200 
Аскарит,селективные реактивы,,2 000 
Полиэтиленгликоль 4000,селективные реактивы,,1 000 
Титан (IV) оксид,селективные реактивы,,700 
Натрий формиат тех,селективные реактивы,Россия,45 
Медь уксуснокислая  1-водная ч (медь II ацетат),,,2 200 
Кислота стеариновая,,стеариновая,300 
Смола ионообменная Lewatit S1567,,,300 
Кислота винная ч,,винная,800 
"Стронций хлористый 6 - вод. Ч,  стронций хлорид",,,600 
"Смола ЭД-16, ЭД-20 (Смола эпокси - диановая смола)",,Россия,1 000 
Калий бромистый чда,,,700 
Нефрас С-50\170,селективные реактивы,,128 
Магнитный порошок для дефектоскопии ТУ 6-14-1009-79,,,390 
Калий лимоннокислый 1- вод. Ч,,,380 
Кальций салицированный,селективные реактивы,,150 
Свинец гранулированный ч,селективные реактивы,,800 
Алюминий хлористый безводный 99%(Алюминий хлорид),селективные реактивы,,2 200 
Флуоресцеин чда,селективные реактивы,,2 800 
Твин-20,селективные реактивы,,3 000 
"Барий сернокислый ч, барий сульфат",,для водоочистки,260 
Калий гексанитрокобальтат (III),,,3 000 
Кадмий азотнокислый 4-вод.,,,520 
Диметилформамид хч,селективные реактивы,,650 
"Цинк сернокислый 7-вод. Ч, цинк сульфат,  цинковый купорос",,порошок,250 
Углерод 4-хлористый хч для ЭВС марка А,селективные реактивы,,1 200 
Молибдена дисульфид тех.,селективные реактивы,,8 000 
Сплав Вуда,селективные реактивы,,1 532 
Сплав Деварда,селективные реактивы,,2 400 
Бриллиантовый желтый,селективные реактивы,,8 000 
4-аминоантипирин,селективные реактивы,,29 500 
Барий хлористый 2-вод. Ч,,,220 
Ртуть (II) окись желтая ч,селективные реактивы,,16 000 
Калий фталевокислый кислый чда,,,850 
"Селен, осч 17-4 , элементарный",селективные реактивы,,30 000 
Сульфарсазен,селективные реактивы,,220 000 
Азур 1,селективные реактивы,,15 000 
Железо (II) сернокислое 7-водное ч,селективные реактивы,,150 
Натрий хлористый осч,,,1 800 
Натрий виннокислый 2-вод. Ч,селективные реактивы,,1 500 
Нитрилотриметилфосфорная кислота (НТФК кислота),,,850 
Кислота N фенилантраниловая чда,,,10 000 
"Калий пирофосфорнокислый (Калий фосфорнокислый пиро, калий пирофосфат))",,,350 
Цирконий сернокислый,селективные реактивы,,10 200 
Клей мездровый,,,1 600 
Пентан чда,селективные реактивы,,650 
Тропеолин 000-1,селективные реактивы,,6 500 
Натрий метастанат 3-вод. Ч,,,3 000 
Хромотроповая кислота динатриевая соль  2-водная чда,,,30 000 
Гипохлорит натрия для бассейнов,,,35 
Бора карбид,,,2 500 
Натрий серноватистокислый 5 - вод. чда (тиосульфат),,,120 
Средство моющее СМ-37,,,48 
Диоктилфталат,селективные реактивы,,420 
"Диметилглиоксим чда, Реактив Чугаева",селективные реактивы,,12 000 
Крахмал кукурузный,селективные реактивы,,350 
"Ртуть II йодистая  хч, ртуть йодид",селективные реактивы,,16 000 
"Стронций углекислый хч, стронций карбонат",селективные реактивы,,1 300 
Фильтры  аналитические аэрозольные АФА-ВП-20,,,9 
Олово сернокислое чда,селективные реактивы,,4 500 
Кварц молотый пылевидный ПК МВИ-2,,,27 
Кобальт углекислый хч,селективные реактивы,,2 200 
Иона ванадия (V),селективные реактивы,,300 
Феноловый красный,селективные реактивы,,10 000 
Титан диоксид TiOx-220, ,,550 
Гидроантрацит -А,селективные реактивы,,35 
Ртуть (II) сернокислая чда,селективные реактивы,,9 900 
Трилон Б,селективные реактивы,,500 
Олово гранулированное чда,селективные реактивы,,4 000 
Эфир  петролейный  40-70 чда,селективные реактивы,,800 
Медь II виннокислая 3-водная чда,селективные реактивы,,8 000 
Цирконил хлорид (цирконий хлорокись),селективные реактивы,Россия,8 000 
Барий углекислый ч,,,550 
Цирконил азотнокислый 2-вод.,,,8 000 
"Натрий двухромовокислый чда, натрий бихромат, дихромат натрия",селективные реактивы,,500 
Ртуть II бромная чда,селективные реактивы,,16 000 
Свинец  в палочках ч,,,360 
Олово (II) тетрафтороборат,селективные реактивы,,700 
Барий уксуснокислый хч,,,1 200 
Декстрин кукурузный кислотный,селективные реактивы,,200 
Реактив Несслера чда,селективные реактивы,,1 200 
Гипохлорита кальция двуосновная соль,,,200 
"Тимоловый синий в\р, спирторастворимый",селективные реактивы,,7 000 
Этиловый эфир уксусной кислоты ( Этилацетат),,Россия,380 
Аммоний фосфорнокислый 1-зам. Ч,селективные реактивы,,400 
"Этиленгликоль в/с, тех",селективные реактивы,,550 
Иттрий азотнокислый,селективные реактивы,,4 500 
Гидразин сернокислый ч,селективные реактивы,,1 200 
Аммоний ванадиевокислый мета ч,селективные реактивы,,5 800 
Растворитель -647,,,25 
Натрий метасиликат 9-вод. Ч,,,195 
Вольфрам металлический порошок,,,4 000 
Этилацетат хч,селективные реактивы,,480 
Ртуть (I) хлористая чда,нет,хлористый калий,9 100 
Изо-бутанол чда,селективные реактивы,,460 
Хромаген черный (Эриохром черный Т),селективные реактивы,,16 000 
Калий ванадиевокислый мета,,,850 
Бензиловый спирт осч,,,520 
Кислота янтарная,,янтарная,580 
Пиридин чда,селективные реактивы,,2 100 
Алюминий гранулированный ч,селективные реактивы,,720 
Двухосновная соль гипохлорита кальция 45%(гипохлорит кальция),,,150 
Хлорбензол,селективные реактивы,,1 000 
Бензидин сернокислый,селективные реактивы,,75 000 
Динохром - II,селективные реактивы,,18 000 
Фильтр обеззоленные синяя лента 12.5,селективные реактивы,,85 
Ртуть (II) азотнокислая 1-вод. Чда,,,7 000 
Серебро азотнокислое хч (серебро нитрат),,,75 000 
Метиленовый зеленый,селективные реактивы,,2 100 
Свинец азотнокислый  ч,селективные реактивы,,850 
Гексан чда,селективные реактивы,,550 
Фуксин кислый,селективные реактивы,,15 000 
Тимолфталеин,селективные реактивы,,8 000 
Бром чда,селективные реактивы,,7 000 
Калий  двухромовокислый хч,,,700 
Кислота молочная 80% Германия,,Молочная кислота в организме называется мясомолочной,450 
Медь (II) углекислая основная  ч,,,1 200 
Таурин,селективные реактивы,,1 800 
Химический поглотитель ХП-И,селективные реактивы,,380 
Натрий кремнефтористый ч,селективные реактивы,,280 
Иона кальция (II),селективные реактивы,,200 
Аллил бромид 99%,селективные реактивы,,8 500 
Магний окись осажденная ч,селективные реактивы,,550 
Свинец (II) стеарат ч,селективные реактивы,,300 
Н-гептан эталонный,селективные реактивы,,1 200 
1-НИТРОЗО-2-НАФТОЛ (РЕАКТИВ ИЛЬИНСКОГО),селективные реактивы,,6 500 
Гидроксиламин сернокислый,селективные реактивы,,1 100 
Смола полиамидная  ПО-300,,,1 300 
Кислота азотная осч 18-4,,,220 
Маннит  ч,селективные реактивы,,2 300 
Натрий надсернокислый хч,селективные реактивы,,190 
Марганец (II) углекислый осн. вод.,,,100 
Судан 2,селективные реактивы,,10 000 
Натрий селенистокислый кислый (натрий гидроселенит),,,2 500 
Изо-Октан хч,селективные реактивы,,1 200 
"Резорцин технический, ЯПОНИЯ",селективные реактивы,Япония,3 000 
Кислота молочная  40 %,,,420 
"N, N-Диметил-п-фенилендиамин чда",селективные реактивы,Россия,27 750 
Пропанол-2 хч,селективные реактивы,Россия,350 
Воск пчелинный,,,1 000 
Ацетонитрил  5 осч,селективные реактивы,,1 000 
Фильтр обеззоленные белая  лента 18,селективные реактивы,,148 
Анилин чда,селективные реактивы,,1 950 
Висмут (III) азотнокислый ч,селективные реактивы,,2 900 
"Висмут оксид, имп.",селективные реактивы,,2 300 
Диметилформамид осч,селективные реактивы,,520 
Аминоуксусная кислота (глицин) ч,,,680 
